Affenpinscher,Beige;Black;Black & Silver;Black & Tan;Red,Extra Small,9-11.5 inches,7-10 pounds,12-15 years,Confident,Regular Exercise,Wire,Toy
Afghan Hound,Black;Black & Silver;Black & Tan;Blue;Cream;Red;Silver;White,Large,25-27 inches,50-60 pounds,12-15 years,Aristocratic & Loyal,Energetic,Long,Hound
Airedale Terrier,Black & Tan;Grizzle & Tan,Medium,23 inches,50-70 pounds,11-14 years,Clever & Friendly,Regular Exercise,Wire,Terrier
Akita,Black;Brindle;Fawn;Red;Brown;Silver;White,Extra Large,24-28 inches,70-130 pounds,10-13 years,Dignified & Loyal,Energetic,Medium,Working
Alaskan Malamute,Agouti & White;Black & White;Blue & White;Gray & White;Red & White;Silver & White;White,Large,23-25 inches,75-85 pounds,10-14 years,Affectionate & Playful,Energetic,Medium,Working
American English Coonhound,Black;Black & Tan;Blue;Brown;Red;Red & White,Medium,23-26 inches,45-65 pounds,11-12 years,Sweet & Mellow,Energetic,Short,Hound
American Eskimo Dog,White;White & Biscuit,Small,9-19 inches,6-35 pounds,13-15 years,Smart & Loyal,Energetic,Medium,Non-Sporting
American Foxhound,Black White & Tan,Medium,21-25 inches,60-70 pounds,11-13 years,Easy-going & Independent,Energetic,Short,Hound
American Hairless Terrier,Apricot;Black;Blue;Brown;Red,Small,12-16 inches,12-16 pounds,14-16 years,Energetic & Curious,Regular Exercise,Hairless,Terrier
American Staffordshire Terrier,Black;Blue;Brindle;Brown;Fawn;Red;White,Medium,17-19 inches,40-70 pounds,12-16 years,Smart & Confident,Regular Exercise,Smooth,Terrier
American Water Spaniel,Brown,Medium,15-18 inches,25-45 pounds,10-14 years,Eager & Charming,Regular Exercise,Medium,Sporting
Anatolian Shepherd Dog,Blue;Brindle;Fawn;White,Extra Large,27-29 inches,80-150 pounds,11-13 years,Independent & Loyal,Regular Exercise,Short,Working
Australian Cattle Dog,Blue;Red,Medium,17-20 inches,35-50 pounds,12-16 years,Alert & Curious,Very Active,Short,Herding
Australian Shepherd,Black;Blue;Red,Medium,18-23 inches,40-65 pounds,12-15 years,Smart & Exuberant,Energetic,Medium,Herding
